url,status,url_length,num_slashes,num_dots_host,num_terms_host,Sp_char,IPinUrl,Http,Subdomain,Num_Dots_Path,host_hyphen,Len,LSTM
http://www.progarchives.com/album.asp?id=61737,malicious,16,3,2,3,1,0,1,1,1,0,46,0.2866053581237793
http://signin.eday.co.uk.ws.edayisapi.dllsign.inusingsslpuseridcopartnerid2siteid.zdfxx949xyss1pnbh0soabfdzgdh2kppnu.reippl.com/,malicious,10,3,10,11,0,0,1,1,0,0,128,0.9966375827789308
http://www.avevaconstruction.com/blesstool/image.htm,malicious,21,4,2,3,0,0,1,1,1,0,52,0.2866053581237793
http://www.jp519.com/,benign,9,3,2,3,0,0,1,1,0,0,21,0.3427157402038574
https://www.velocidrone.com/,benign,15,3,2,3,0,0,0,1,0,0,28,0.2866053581237793
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b5aed586dda5d21/?cmd=_update&dispatch=b5aed586dda5d219f&locale=_US,malicious,17,5,4,5,1,0,0,1,0,1,128,0.9394153952598572
https://www.authpro.com/auth/ubabankng/?action=reg,malicious,11,5,2,3,1,0,0,1,0,0,50,0.2866053581237793
http://littlee.com.au/alibaba/login.alibaba.com.php,malicious,14,4,2,3,0,0,1,0,3,0,51,0.6585866212844849
http://www.tutorialspoint.com/dbms/,benign,18,4,2,3,0,0,1,1,0,0,35,0.2866053581237793
http://www.domarada.sk,benign,11,2,2,3,0,0,1,1,0,0,22,0.5678421854972839
http://www.grouper.in/wp-includes/js/tinymce/etisalat.ae/,malicious,10,7,2,3,1,0,1,1,1,0,57,0.9729229211807252
https://www.prepaid-karte-vergleich.de/,benign,26,3,2,3,1,0,0,1,0,2,39,0.3419003188610077
http://nandabolsas.com.br/forum/control.html,malicious,18,4,2,3,0,0,1,0,1,0,44,0.9943879246711732
http://betasus7.blogspot.com,malicious,12,2,2,3,0,0,1,1,0,0,28,0.0587155558168888
https://www.youtube.com/channel/UCLSjw7g5U48jgtjaeyjfwjQ,benign,11,4,2,3,0,0,0,1,0,0,56,0.0037477237638086
https://fieldstonerp-my.sharepoint.com/:b:/p/danfields/EZ7SH1xQSDpMtP4DleQT5tUBXo4sRqDgcRy807wUg7VFFg?e=Mz09kC,malicious,14,6,2,3,1,0,0,1,0,1,110,0.2747036814689636
http://www.webopedia.com/TERM/C/CLI.html,benign,13,5,2,3,0,0,1,1,1,0,40,0.2866053581237793
https://www.allmenus.com/nc/charlotte/89187-mimosa-grill/menu/,benign,12,7,2,3,1,0,0,1,0,0,62,0.2866053581237793
http://www.makeuseof.com/tag/p2p-peer-peer-file-sharing-works/,benign,13,5,2,3,1,0,1,1,0,0,62,0.2866053581237793
http://bdo-onlineverify.xyz/bdoverification/security/verify/login.php,malicious,20,6,1,2,1,0,1,0,1,1,69,0.9965152740478516
http://www.picfront.org/,benign,12,3,2,3,0,0,1,1,0,0,24,0.1881412416696548
http://kam-net.ci/2026584619/verification.php,malicious,10,4,1,2,1,0,1,0,1,1,45,0.9583837985992432
https://www.beddenreus.nl/,benign,13,3,2,3,0,0,0,1,0,0,26,0.6604388952255249
https://www.simpsonbayresort.com/,benign,20,3,2,3,0,0,0,1,0,0,33,0.2866053581237793
http://hamathiel-sunsheer.tumblr.com,benign,10,2,2,3,1,0,1,1,0,1,36,0.0331373475492
http://ipnpr.jpl.nasa.gov/progress_report/42-64/64G.PDF,benign,8,5,3,4,1,0,1,1,1,0,55,0.0014548468170687
https://www.powerhome.jp/,benign,12,3,2,3,0,0,0,1,0,0,25,0.8571656942367554
https://www.insidethefun.com/Login.aspx?redir=/default.aspx,benign,16,4,2,3,1,0,0,1,1,0,59,0.2866053581237793
http://whatsappporn.wikaba.com/,malicious,10,3,2,3,0,0,1,1,0,0,31,0.3821315765380859
https://disq.us/?url=https%3A%2F%2Fwww.gepard.ru%2Flogin%2Faccount%2F&key=JgDq7zS0rAtd6srC39cdig,malicious,7,3,1,2,1,0,0,0,0,0,96,0.443831592798233
http://www.accaparlante.it/,benign,15,3,2,3,0,0,1,1,0,0,27,0.9135004878044128
https://www.learnnext.com/user/signUpNew.htm,benign,13,4,2,3,0,0,0,1,1,0,44,0.2866053581237793
https://www.megachords.com/gigi/chords/amnesia/,benign,14,6,2,3,0,0,0,1,0,0,47,0.2866053581237793
http://netizenbuzz.blogspot.com/,benign,12,3,2,3,0,0,1,1,0,0,32,0.0587155558168888
http://www.vagueware.com/proprietary-software/,benign,13,4,2,3,1,0,1,1,0,0,46,0.2866053581237793
http://learnmore.duke.edu/certificates/digital_marketing,benign,8,4,2,3,1,0,1,1,0,0,56,0.0016645112773403
https://doubler.link/,malicious,12,3,1,2,0,0,0,0,0,0,21,0.931935489177704
http://www.centcom.mil/ABOUT-US/COMMAND-NARRATIVE/,benign,11,5,2,3,1,0,1,1,0,0,50,0.0953540727496147
https://user67509874097802.el.r.appspot.com/app/index,malicious,11,4,4,5,0,0,0,1,0,0,53,0.9967302083969116
https://client-webhook-dot-qp-keybank-rrva-2020-04.uc.r.appspot.com/,malicious,11,3,4,5,1,0,0,1,0,7,68,0.5674060583114624
https://www.theswiftcodes.com/kenya/ninckena/,benign,17,5,2,3,0,0,0,1,0,0,45,0.2866053581237793
http://chat-whatsapp.ns01.us/,malicious,7,3,2,3,1,0,1,1,0,1,29,0.6560952067375183
http://www.josuejr.com.br/glt/cgi/login.php?email=piotr.lacki@rb.com,malicious,14,5,3,4,1,0,1,1,1,0,68,0.9877186417579652
http://www.amberexpeditions.com/plugins/search/contacts/a.htm,malicious,20,6,2,3,0,0,1,1,1,0,61,0.2866053581237793
https://surb.madebyhaley.com/htn?tu=Z4NwlG1ocGKclX2mmHKTaIF_YKCDomZjbGKjY31y/amuehlem%40gmx.ch,malicious,15,4,2,3,1,0,0,1,0,0,94,0.3821315765380859
https://pannative.blogspot.com/,benign,12,3,2,3,0,0,0,1,0,0,31,0.0587155558168888
http://etigroup.az/wp-content/plugins/revslider/languages/o/indexaa.php,malicious,11,8,1,2,1,0,1,0,1,0,71,0.920689821243286
