creditgratosse.blogspot.com/2008/01/connnectoi_03.html,正常網站
aijcs.blogspot.com/2005/03/colourful-life-of-aij.html,釣魚網站
tudu-free.blogspot.com/2008/02/jogos-java-aplicativos.html#footer-wrap2,釣魚網站
floridarentfinders.com/uploads/ws/css/www.paypal.com/cgi-bin/webscrcmd=_login-run/update.php,釣魚網站
paypollar.com.p12.hostingprod.com/wbsc.php,釣魚網站
01453.com/,正常網站
015fb31.netsolhost.com/bosstweed.html,釣魚網站
02bee66.netsolhost.com/lincolnhomepage/,正常網站
02ec0a3.netsolhost.com/getperson.php?personID=I4920&tree=ncshawfamily,釣魚網站
032255.com/,正常網站
